customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
YM99866,Arizona,M,High School or Below,0,53904,67,0,321,Personal Auto,Four-Door Car
VH62084,California,M,High School or Below,0,0,74,0,811,Personal Auto,Four-Door Car
SE28250,Arizona,M,Bachelor,0,0,70,0,336,Special Auto,Four-Door Car
MD86050,Oregon,M,High School or Below,0,0,67,0,482,Personal Auto,Four-Door Car
GF17866,Oregon,M,College,0,28142,105,0,701,Corporate Auto,Sports Car
UB16654,Washington,M,Master,0,15680,6464,0,260,Personal Auto,Four-Door Car
KO44736,Oregon,M,Bachelor,0,35095,73,0,525,Personal Auto,Two-Door Car
KI55845,Oregon,F,College,0,55588,114,0,547,Personal Auto,SUV
JJ24476,Arizona,F,Master,0,52391,71,0,409,Personal Auto,Two-Door Car
VC68509,Oregon,F,Bachelor,0,42240,79,0,46,Personal Auto,Four-Door Car
QN62502,Oregon,F,Bachelor,0,70146,96,0,157,Personal Auto,Four-Door Car
EL92515,Oregon,F,College,0,41121,94,0,451,Personal Auto,Four-Door Car
VL84149,Oregon,F,College,0,71210,214,0,1027,Corporate Auto,Luxury Car
JX19907,Oregon,M,Bachelor,0,0,107,0,1261,Corporate Auto,Two-Door Car
BC66921,Nevada,F,High School or Below,0,41228,71,0,340,Personal Auto,Four-Door Car
RK24470,Washington,M,Bachelors,0,40113,67,0,262,Corporate Auto,Two-Door Car
GN80437,Oregon,F,College,0,0,91,0,596,Special Auto,Four-Door Car
AH65907,California,F,Bachelor,0,51790,71,0,340,Personal Auto,Four-Door Car
VG57728,California,M,High School or Below,0,92593,68,0,8,Corporate Auto,Four-Door Car
AF81450,California,M,High School or Below,0,28657,100,0,588,Personal Auto,SUV
YI28422,Oregon,M,High School or Below,0,30262,98,0,499,Personal Auto,Four-Door Car
GR26937,Oregon,F,Master,0,47197,81,0,76,Corporate Auto,Four-Door Car
BR99015,California,F,Bachelor,0,0,94,0,451,Personal Auto,Four-Door Car
PB11270,Oregon,F,Bachelor,0,0,61,0,541,Personal Auto,Four-Door Car
PZ89632,Oregon,F,High School or Below,0,0,134,0,964,Personal Auto,SUV
LV62981,Arizona,M,College,0,22093,87,0,616,Corporate Auto,Two-Door Car
AS97690,Arizona,M,College,0,54483,61,0,292,Personal Auto,Two-Door Car
SG32258,Arizona,F,College,0,18944,63,0,125,Personal Auto,Four-Door Car
MY80583,Oregon,F,Bachelor,0,84365,66,0,316,Personal Auto,Four-Door Car
WS57286,Arizona,M,College,0,0,64,0,137,Personal Auto,Four-Door Car
MF53477,California,F,High School or Below,0,25147,101,0,694,Corporate Auto,SUV
DQ28641,Nevada,M,High School or Below,0,14315,71,0,511,Personal Auto,Four-Door Car
EX46492,Arizona,F,Master,0,87864,94,0,421,Personal Auto,Two-Door Car
VW20823,California,M,High School or Below,0,57844,85,0,408,Personal Auto,Four-Door Car
LH26563,Oregon,F,High School or Below,0,17913,116,0,556,Personal Auto,Four-Door Car
FR56877,Arizona,F,High School or Below,0,28806,99,0,475,Special Auto,Four-Door Car
ZY99878,California,M,High School or Below,0,90343,175,0,833,Personal Auto,SUV
CS15289,Oregon,F,Master,0,79041,199,0,419,Personal Auto,Luxury SUV
MM49431,Washington,M,Bachelor,0,74069,63,0,275,Personal Auto,Two-Door Car
IA96447,California,M,College,0,85019,167,0,801,Personal Auto,Sports Car
PT32230,California,F,High School or Below,0,70059,194,0,253,Personal Auto,Luxury SUV
NK73719,California,F,College,0,70503,164,0,41,Corporate Auto,SUV
OH15771,California,M,Bachelor,0,0,117,0,561,Personal Auto,SUV
XP61034,Oregon,M,Bachelor,0,39492,105,0,756,Personal Auto,SUV
ZN34245,Arizona,M,College,0,0,68,0,489,Corporate Auto,Four-Door Car
FX55923,Arizona,M,Bachelor,0,50405,70,0,7,Personal Auto,Four-Door Car
ZZ83340,Oregon,F,Doctor,0,96021,68,0,315,Personal Auto,Two-Door Car
HA99340,Oregon,M,High School or Below,0,0,65,0,422,Personal Auto,Two-Door Car
LE43061,California,M,High School or Below,0,0,105,0,756,Personal Auto,Four-Door Car
UF77413,Oregon,M,College,0,65794,69,0,277,Personal Auto,Four-Door Car
UY45293,Oregon,M,Bachelor,0,21975,95,0,456,Corporate Auto,Four-Door Car
TH84309,California,M,High School or Below,0,0,126,0,604,Personal Auto,SUV
PZ94551,Oregon,F,Bachelor,0,56649,125,0,780,Special Auto,SUV
UE76013,Washington,F,Master,0,35984,128,0,275,Personal Auto,SUV
HS85465,California,M,Bachelor,0,92296,69,0,331,Corporate Auto,Two-Door Car
SI78985,Oregon,F,Bachelor,0,39448,103,0,66,Personal Auto,Four-Door Car
KF50730,California,F,Bachelor,0,71794,131,0,457,Personal Auto,SUV
JO13576,California,F,High School or Below,0,21861,69,0,348,Personal Auto,Four-Door Car
HJ79774,Oregon,F,College,0,31591,72,0,240,Corporate Auto,Four-Door Car
KI18648,Arizona,F,Bachelor,0,60662,68,0,326,Special Auto,Two-Door Car
EL99335,California,F,College,0,20608,73,0,350,Personal Auto,Four-Door Car
LE84979,California,F,Master,0,21331,103,0,419,Personal Auto,SUV
CE12380,Arizona,F,College,0,0,66,0,252,Corporate Auto,Four-Door Car
BJ22117,Washington,M,Master,0,53390,6464,0,278,Personal Auto,Four-Door Car
JF83834,Oregon,M,Doctor,0,36631,62,0,67,Corporate Auto,Four-Door Car
YN10988,California,M,High School or Below,0,0,87,0,417,Personal Auto,Four-Door Car
YX15941,Oregon,M,College,0,26030,139,0,667,Corporate Auto,Sports Car
ZB50601,Nevada,M,College,0,0,70,0,469,Personal Auto,Four-Door Car
HP50399,Nevada,M,Bachelor,0,0,113,0,542,Personal Auto,SUV
GC17585,AZ,M,Bachelor,0,25302,70,0,336,Personal Auto,Four-Door Car
QW17286,Washington,F,Master,0,66030,69,0,282,Personal Auto,Four-Door Car
DO41287,Oregon,M,High School or Below,0,0,82,0,590,Personal Auto,Four-Door Car
GT54462,AZ,M,Bachelor,0,73222,180,0,821,Personal Auto,SUV
BT76268,California,F,College,0,22061,74,0,355,Personal Auto,Four-Door Car
QM38267,AZ,F,High School or Below,0,86321,66,0,316,Personal Auto,Four-Door Car
LP82042,Oregon,M,Bachelor,0,54668,68,0,326,Personal Auto,Four-Door Car
EF52978,AZ,F,High School or Below,0,0,62,0,297,Personal Auto,Four-Door Car
GH54524,California,M,High School or Below,0,69497,142,0,92,Personal Auto,SUV
DP26592,Oregon,M,High School or Below,0,86617,63,0,188,Personal Auto,Four-Door Car
UP29839,Nevada,F,Master,0,22705,239,0,1294,Personal Auto,Luxury SUV
IB80924,Washington,F,High School or Below,0,90783,104,0,285,Personal Auto,SUV
OB55054,Oregon,M,Bachelor,0,88410,99,0,475,Corporate Auto,Four-Door Car
NP91656,California,F,Bachelor,0,0,69,0,496,Personal Auto,Four-Door Car
SH74080,Oregon,F,College,0,21073,106,0,508,Personal Auto,SUV
KN25556,AZ,F,College,0,0,66,0,316,Personal Auto,Four-Door Car
RB38792,Oregon,M,College,0,66429,136,0,57,Personal Auto,Sports Car
QR72180,California,F,Doctor,0,66889,80,0,294,Personal Auto,Four-Door Car
TW64385,California,M,Bachelor,0,36088,72,0,345,Corporate Auto,Four-Door Car
TM13955,Washington,M,Master,0,0,80,0,286,Corporate Auto,Four-Door Car
GF94951,AZ,M,Bachelor,0,0,68,0,489,Corporate Auto,Two-Door Car
NF53775,California,F,College,0,17557,96,0,666,Personal Auto,Four-Door Car
YB58778,California,F,College,0,81064,70,0,42,Personal Auto,Two-Door Car
PH77560,Nevada,F,High School or Below,0,0,66,0,700,Personal Auto,Four-Door Car
ZO14864,Washington,F,Master,0,42526,86,0,287,Personal Auto,Two-Door Car
BI34376,California,F,Doctor,0,45703,98,0,470,Personal Auto,Two-Door Car
UQ63396,California,F,Bachelor,0,40036,65,0,48,Personal Auto,Four-Door Car
BR23201,California,M,Bachelor,0,0,71,0,191,Personal Auto,Four-Door Car
VH45094,AZ,M,High School or Below,0,65870,61,0,202,Personal Auto,Four-Door Car
KD47243,California,F,Bachelor,0,91469,100,0,418,Personal Auto,SUV
MY13737,California,M,High School or Below,0,42090,119,0,203,Corporate Auto,SUV
OR48881,Oregon,F,Doctor,0,21368,79,0,4,Corporate Auto,Four-Door Car
BD77090,Washington,F,Bachelors,0,79090,107,0,289,Personal Auto,SUV
LW77178,Oregon,F,Bachelor,0,33879,98,0,470,Corporate Auto,Two-Door Car
BQ12347,AZ,M,High School or Below,0,72874,70,0,336,Special Auto,Four-Door Car
FF61670,California,M,High School or Below,0,0,82,0,393,Personal Auto,Four-Door Car
PM61374,California,F,Bachelor,0,0,110,0,550,Personal Auto,Two-Door Car
BW25236,AZ,M,College,0,72215,66,0,247,Personal Auto,Four-Door Car
XO22038,California,F,Bachelor,0,39854,66,0,261,Corporate Auto,Two-Door Car
QG51953,Oregon,M,College,0,36655,61,0,295,Personal Auto,Four-Door Car
SZ56338,Oregon,F,High School or Below,0,37995,139,0,667,Personal Auto,SUV
PX60116,California,F,High School or Below,0,40867,112,0,537,Corporate Auto,Two-Door Car
BW46202,Oregon,F,Bachelor,0,28804,78,0,76,Personal Auto,Two-Door Car
GW14109,California,F,High School or Below,0,48409,124,0,345,Special Auto,SUV
GP42026,California,M,High School or Below,0,19683,117,0,561,Personal Auto,Sports Car
DH41343,Washington,nan,College,0,92834,61,0,292,Special Auto,Four-Door Car
PY42157,Washington,F,High School or Below,0,62006,61,0,292,Personal Auto,Four-Door Car
OL36978,California,F,High School or Below,0,67241,68,0,5,Personal Auto,Two-Door Car
KT40899,California,M,High School or Below,0,75436,78,0,9,Personal Auto,Four-Door Car
WE60408,AZ,F,College,0,91761,109,0,779,Personal Auto,SUV
LG64797,California,F,College,0,25771,222,0,1253,Personal Auto,Luxury SUV
MD87746,Oregon,M,College,0,60920,64,0,231,Personal Auto,Two-Door Car
QP80741,Washington,F,College,0,0,61,0,292,Corporate Auto,Four-Door Car
WO59883,Washington,F,High School or Below,0,29822,61,0,292,Personal Auto,Two-Door Car
MU79385,AZ,M,College,0,60944,130,0,623,Personal Auto,SUV
JH30384,California,F,High School or Below,0,22081,84,0,451,Personal Auto,Two-Door Car
LL45497,Washington,female,College,0,67282,62,0,297,Personal Auto,Two-Door Car
SK95364,California,F,College,0,0,130,0,936,Personal Auto,SUV
VG56765,Arizona,M,High School or Below,0,95697,61,0,114,Personal Auto,Two-Door Car
NE24371,Oregon,F,College,0,15300,85,0,408,Personal Auto,Four-Door Car
KR48903,Washington,M,High School or Below,0,88264,62,0,297,Personal Auto,Two-Door Car
ZF27999,Nevada,F,College,0,12902,139,0,667,Personal Auto,Sports Car
MH40017,Arizona,M,High School or Below,0,29809,61,0,365,Personal Auto,Four-Door Car
YJ99764,Nevada,M,High School or Below,0,0,74,0,355,Personal Auto,Four-Door Car
AG22225,Oregon,M,High School or Below,0,0,96,0,460,Personal Auto,Four-Door Car
ZJ26179,Oregon,M,Bachelor,0,25998,71,0,791,Personal Auto,Four-Door Car
VO36036,Oregon,F,Doctor,0,28248,90,0,634,Personal Auto,Four-Door Car
ZQ94281,California,F,College,0,68103,82,0,277,Personal Auto,Two-Door Car
CK40732,California,F,High School or Below,0,0,103,0,741,Special Auto,Four-Door Car
UT73461,Oregon,F,Doctor,0,81079,111,0,134,Special Auto,SUV
LT57320,Nevada,F,Master,0,22732,62,0,15,Personal Auto,Four-Door Car
BZ44726,Nevada,F,High School or Below,0,49825,70,0,336,Corporate Auto,Two-Door Car
VU32116,Oregon,F,College,0,0,103,0,621,Personal Auto,SUV
EG94326,Nevada,M,High School or Below,0,77265,107,0,513,Personal Auto,SUV
EJ43595,California,M,High School or Below,0,0,72,0,779,Corporate Auto,Four-Door Car
QI37869,California,M,College,0,12876,107,0,425,Corporate Auto,Four-Door Car
SX65826,Arizona,M,Bachelor,0,36431,99,0,513,Personal Auto,Two-Door Car
XO42145,Oregon,M,High School or Below,0,25927,103,0,674,Personal Auto,SUV
WJ74851,Nevada,F,Bachelor,0,26811,72,0,465,Personal Auto,Two-Door Car
IG68709,Oregon,F,High School or Below,0,41711,90,0,351,Personal Auto,Four-Door Car
AC75391,Arizona,F,College,0,35091,74,0,418,Corporate Auto,Two-Door Car
WO94087,Arizona,F,Bachelor,0,0,87,0,417,Corporate Auto,Four-Door Car
YJ69332,Oregon,F,High School or Below,0,22081,84,0,451,Personal Auto,Two-Door Car
WX87964,Washington,M,High School or Below,0,29560,62,0,297,Personal Auto,Four-Door Car
PD32641,Oregon,M,College,0,31320,72,0,293,Personal Auto,Four-Door Car
CK39096,Oregon,M,High School or Below,0,0,153,0,1027,Personal Auto,SUV
QV19964,Oregon,M,Doctor,0,33947,66,0,192,Personal Auto,Four-Door Car
BF72793,California,F,High School or Below,0,0,62,0,446,Personal Auto,Two-Door Car
WB12017,California,F,College,0,21189,66,0,316,Personal Auto,Two-Door Car
JO17193,Washington,M,Bachelors,0,25905,63,0,302,Personal Auto,Four-Door Car
AY84441,Oregon,M,High School or Below,0,0,114,0,820,Personal Auto,SUV
JQ65500,Oregon,F,Bachelor,0,44988,108,0,518,Corporate Auto,Two-Door Car
OI29521,Oregon,F,College,0,33432,90,0,161,Corporate Auto,Two-Door Car
MJ51323,Oregon,F,Bachelor,0,46503,215,0,1032,Personal Auto,Luxury SUV
QI64880,California,M,Bachelor,0,0,101,0,973,Corporate Auto,SUV
HV93429,Oregon,F,Master,0,23636,65,0,81,Personal Auto,Four-Door Car
TA89713,Oregon,M,College,0,66429,136,0,57,Personal Auto,Sports Car
OB98149,Washington,F,College,0,11417,63,0,302,Personal Auto,Two-Door Car
LE65901,Oregon,F,Bachelor,0,58082,112,0,103,Personal Auto,SUV
FF68864,Arizona,F,Bachelor,0,36523,71,0,101,Personal Auto,Four-Door Car
YX99200,Nevada,M,Bachelor,0,54710,103,0,294,Personal Auto,Two-Door Car
LZ26801,California,F,High School or Below,0,73466,102,0,204,Personal Auto,SUV
TA66375,Oregon,F,Bachelor,0,51643,283,0,1358,Corporate Auto,Luxury Car
SC92090,Arizona,M,College,0,83846,74,0,355,Personal Auto,Four-Door Car
TK40018,Oregon,M,High School or Below,0,0,169,0,1207,Personal Auto,SUV
ZD63451,California,M,Bachelor,0,53338,63,0,35,Personal Auto,Four-Door Car
AO98601,Washington,nan,Bachelor,0,54500,63,0,302,Corporate Auto,Two-Door Car
DT35588,Oregon,M,College,0,60475,107,0,513,Personal Auto,Four-Door Car
VF87723,California,M,College,0,30658,89,0,441,Personal Auto,Four-Door Car
QP69826,Arizona,M,Bachelor,0,0,102,0,660,Corporate Auto,SUV
UW37050,Oregon,F,Bachelor,0,60420,248,0,632,Personal Auto,Luxury SUV
UH62254,Oregon,M,Bachelor,0,0,65,0,312,Personal Auto,Two-Door Car
IA15979,Washington,M,College,0,40598,91,0,302,Personal Auto,Four-Door Car
DB71122,California,F,Doctor,0,15144,90,0,372,Personal Auto,Four-Door Car
TM14491,California,M,Bachelor,0,44428,104,0,499,Personal Auto,SUV
OY94707,California,M,College,0,58297,97,0,647,Special Auto,Four-Door Car
LN55080,Oregon,F,Bachelor,0,42191,74,0,68,Special Auto,Two-Door Car
TZ47750,Nevada,M,Master,0,26057,74,0,523,Personal Auto,Four-Door Car
SJ74501,Arizona,F,Bachelor,0,26608,73,0,234,Personal Auto,Two-Door Car
LE26899,California,M,Doctor,0,0,63,0,272,Personal Auto,Four-Door Car
ML34366,California,M,College,0,66429,136,0,57,Personal Auto,Sports Car
EI45850,California,F,Bachelor,0,25970,72,0,430,Personal Auto,Four-Door Car
LD75023,Oregon,M,High School or Below,0,48268,223,0,1605,Personal Auto,Luxury SUV
JW12998,California,F,High School or Below,0,24279,126,0,604,Personal Auto,Sports Car
LP47259,Arizona,M,High School or Below,0,0,121,0,871,Corporate Auto,Sports Car
XD21246,Oregon,F,High School or Below,0,0,128,0,921,Personal Auto,SUV
DW59142,Nevada,F,High School or Below,0,71879,64,0,9,Corporate Auto,Two-Door Car
KX54900,Arizona,M,Doctor,0,57760,78,0,223,Special Auto,Four-Door Car
XV83643,California,M,College,0,20976,129,0,735,Personal Auto,Sports Car
XY33610,Washington,M,College,0,97750,65,0,303,Personal Auto,Four-Door Car
GK48045,Washington,F,College,0,73245,68,0,305,Personal Auto,Four-Door Car
ET79528,California,M,College,0,23008,79,0,80,Personal Auto,Four-Door Car
RA66180,Washington,F,High School or Below,0,33837,72,0,305,Corporate Auto,Two-Door Car
BC66536,Arizona,F,High School or Below,0,84869,85,0,408,Corporate Auto,Four-Door Car
PN22481,Oregon,M,College,0,0,66,0,316,Corporate Auto,Two-Door Car
XR95069,Washington,nan,Bachelor,0,29834,6464,0,307,Personal Auto,Four-Door Car
IF38438,Arizona,F,High School or Below,0,44695,79,0,81,Personal Auto,Two-Door Car
ZC62609,Oregon,F,High School or Below,0,0,77,0,554,Personal Auto,Four-Door Car
FD64348,Oregon,M,High School or Below,0,23046,65,0,1,Personal Auto,Two-Door Car
TA58285,Oregon,M,High School or Below,0,0,73,0,392,Personal Auto,Two-Door Car
WV66165,Oregon,F,High School or Below,0,84811,111,0,278,Personal Auto,SUV
YE27183,Oregon,M,Bachelor,0,0,91,0,436,Corporate Auto,Four-Door Car
TI47802,California,F,Master,0,0,69,0,331,Personal Auto,Two-Door Car
ZZ44902,Arizona,M,High School or Below,0,40117,108,0,750,Personal Auto,Two-Door Car
JD73594,Oregon,M,Bachelor,0,72140,87,0,417,Personal Auto,Four-Door Car
VW82067,Washington,F,Master,0,97131,6464,0,307,Personal Auto,Four-Door Car
JS55721,California,M,College,0,12495,65,0,312,Personal Auto,Four-Door Car
ZB62469,California,M,High School or Below,0,0,67,0,482,Corporate Auto,Two-Door Car
HZ74609,Oregon,F,Bachelor,0,0,72,0,345,Personal Auto,Four-Door Car
TJ76363,Arizona,F,Doctor,0,36495,133,0,229,Corporate Auto,SUV
QZ58370,Nevada,F,Bachelor,0,86801,98,0,371,Personal Auto,Four-Door Car
RF44930,California,M,College,0,52679,62,0,117,Personal Auto,Four-Door Car
VJ44100,California,M,Master,0,90804,113,0,434,Personal Auto,Sports Car
KN13494,Washington,F,Master,0,97131,6464,0,307,Personal Auto,Four-Door Car
NL80137,Oregon,F,College,0,14262,90,0,290,Personal Auto,Four-Door Car
NZ57065,Oregon,M,Bachelor,0,36844,73,0,283,Personal Auto,Four-Door Car
NM42917,Arizona,F,College,0,58703,127,0,227,Personal Auto,SUV
RR68322,Nevada,M,High School or Below,0,65162,86,0,134,Personal Auto,Four-Door Car
OF78862,Oregon,F,College,0,54964,99,0,525,Personal Auto,Four-Door Car
SC93784,Oregon,M,Bachelor,0,61401,69,0,144,Personal Auto,Four-Door Car
CM59084,Oregon,F,High School or Below,0,25147,101,0,694,Corporate Auto,SUV
QA41558,Oregon,F,Master,0,73536,67,0,172,Personal Auto,Two-Door Car
SD62061,Oregon,F,High School or Below,0,24860,73,0,350,Personal Auto,Four-Door Car
VP13613,California,M,Bachelor,0,65404,99,0,300,Personal Auto,Four-Door Car
HF96939,Oregon,M,High School or Below,0,34510,81,0,388,Personal Auto,Four-Door Car
DU18362,California,M,Bachelor,0,0,108,0,777,Corporate Auto,Two-Door Car
UG34438,Washington,F,College,0,44552,137,0,311,Personal Auto,SUV
XQ19793,Arizona,M,High School or Below,0,20993,133,0,638,Personal Auto,SUV
OB77084,Oregon,F,Bachelor,0,0,61,0,292,Personal Auto,Two-Door Car
LK74984,Washington,M,High School or Below,0,21190,65,0,312,Personal Auto,Four-Door Car
JE13986,Arizona,F,College,0,62587,86,0,412,Personal Auto,Four-Door Car
QR15221,Washington,F,High School or Below,0,22562,65,0,312,Personal Auto,Two-Door Car
LD49835,California,M,High School or Below,0,73345,107,0,513,Personal Auto,SUV
EK19337,Oregon,F,High School or Below,0,0,83,0,989,Personal Auto,Four-Door Car
GD55093,California,F,Master,0,22705,239,0,1294,Personal Auto,Luxury SUV
RX19151,Washington,M,Bachelors,0,67137,111,0,314,Personal Auto,SUV
TJ30354,Oregon,F,Bachelor,0,22627,67,0,321,Personal Auto,Four-Door Car
TA75663,California,F,Master,0,38702,101,0,253,Personal Auto,SUV
WG15841,California,M,Bachelor,0,26790,71,0,340,Personal Auto,Two-Door Car
LO68739,Arizona,F,Bachelor,0,64859,96,0,266,Personal Auto,Four-Door Car
BE61743,Washington,M,Bachelor,0,86657,103,0,316,Personal Auto,Sports Car
EG56026,Nevada,F,High School or Below,0,69263,81,0,494,Personal Auto,Two-Door Car
VF21395,Oregon,M,Bachelor,0,82655,66,0,316,Personal Auto,Two-Door Car
SI11249,California,F,High School or Below,0,29401,65,0,312,Personal Auto,Four-Door Car
PU95227,Washington,M,Bachelors,0,22853,87,0,316,Personal Auto,Four-Door Car
VO87785,Arizona,F,College,0,26480,63,0,378,Personal Auto,Two-Door Car
FS29897,Oregon,F,High School or Below,0,0,61,0,292,Personal Auto,Four-Door Car
JG36165,California,M,Bachelor,0,0,83,0,904,Personal Auto,Two-Door Car
SJ42058,Oregon,F,High School or Below,0,73268,84,0,93,Personal Auto,Four-Door Car
CU13711,Oregon,F,Doctor,0,95579,67,0,308,Personal Auto,Four-Door Car
GT65065,Oregon,F,Master,0,42142,112,0,396,Personal Auto,Sports Car
LO77543,Washington,M,College,0,72302,66,0,316,Special Auto,Two-Door Car
UQ85283,California,M,Bachelor,0,41279,115,0,251,Personal Auto,Sports Car
QA49556,Washington,M,Master,0,23401,66,0,316,Personal Auto,Four-Door Car
GE29173,Nevada,M,Bachelor,0,0,128,0,1448,Corporate Auto,SUV
DF21541,Arizona,F,College,0,23170,71,0,340,Personal Auto,Four-Door Car
JL59571,Oregon,F,Bachelor,0,17343,63,0,208,Corporate Auto,Two-Door Car
DF94525,Oregon,M,College,0,25854,68,0,396,Personal Auto,Four-Door Car
YO58424,Oregon,M,College,0,46900,66,0,316,Corporate Auto,Four-Door Car
UF32671,Washington,F,College,0,57338,66,0,316,Personal Auto,Four-Door Car
HO92982,California,M,High School or Below,0,85355,71,0,458,Personal Auto,Two-Door Car
MZ24175,Arizona,F,College,0,21604,79,0,379,Personal Auto,Four-Door Car
YD48962,Arizona,M,High School or Below,0,0,107,0,513,Personal Auto,SUV
RI52095,Washington,M,High School or Below,0,51878,66,0,316,Personal Auto,Four-Door Car
MF18493,California,M,College,0,0,73,0,350,Personal Auto,Two-Door Car
EP61084,Nevada,F,High School or Below,0,68776,80,0,87,Personal Auto,Four-Door Car
EN38348,Oregon,F,High School or Below,0,45039,96,0,192,Personal Auto,Four-Door Car
FG46258,Washington,F,College,0,16483,90,0,320,Corporate Auto,Two-Door Car
LS98306,Nevada,M,High School or Below,0,64113,117,0,561,Special Auto,Four-Door Car
PZ47477,Arizona,M,High School or Below,0,41829,76,0,416,Personal Auto,Two-Door Car
LT32391,California,F,Master,0,21514,62,0,257,Personal Auto,Two-Door Car
KK30016,Nevada,M,Master,0,27722,69,0,331,Personal Auto,Four-Door Car
OA89218,Nevada,F,College,0,21506,151,0,826,Personal Auto,Sports Car
CY47265,Oregon,F,High School or Below,0,10312,78,0,486,Personal Auto,Four-Door Car
ZI47663,Arizona,F,Bachelor,0,73054,106,0,419,Personal Auto,SUV
GO14008,Oregon,F,Bachelor,0,73775,67,0,321,Personal Auto,Four-Door Car
BC43958,California,M,High School or Below,0,44788,61,0,386,Corporate Auto,Four-Door Car
